n,seconds
1,0.0001587240
2,0.0001873710
3,0.0002994410
4,0.0003657550
5,0.0004532890
6,0.0005740750
7,0.0006191800
8,0.0009708830
9,0.0009099170
10,0.0009411640
11,0.0009808280
12,0.0011386730
13,0.0011873240
14,0.0012639280
15,0.0013360340
16,0.0014551260
17,0.0015408070
18,0.0016798370
19,0.0017320850
20,0.0018443360
21,0.0019957110
22,0.0019979040
23,0.0020921200
24,0.0021757060
25,0.0022615470
26,0.0023586100
27,0.0024380070
28,0.0025327350
29,0.0026668350
30,0.0028488280
31,0.0028862680
32,0.0029032600
33,0.0032852750
34,0.0032227190
35,0.0033778730
36,0.0033742980
37,0.0035328600
38,0.0041039230
39,0.0035508630
40,0.0036939410
41,0.0039797320
42,0.0039732180
43,0.0039751080
44,0.0040315140
45,0.0041562470
46,0.0042296700
47,0.0044097230
48,0.0044983680
49,0.0045412790
50,0.0048753550
51,0.0048257860
52,0.0047853460
53,0.0048697530
54,0.0051711060
55,0.0053178870
56,0.0051114980
57,0.0059187030
58,0.0073918640
59,0.0059466210
60,0.0056033110
61,0.0057250330
62,0.0058060980
63,0.0060678230
64,0.0058918840
65,0.0059119770
66,0.0060088490
67,0.0062206630
68,0.0064638570
69,0.0062545990
70,0.0064548140
71,0.0066955910
72,0.0067206330
73,0.0067872960
74,0.0068970330
75,0.0072438300
76,0.0072171550
77,0.0072559750
78,0.0072815430
79,0.0073708740
80,0.0073291220
81,0.0074444670
82,0.0076239020
83,0.0077178200
84,0.0078124720
85,0.0077842250
86,0.0080083390
87,0.0081946480
88,0.0083745510
89,0.0081709370
90,0.0082533640
91,0.0085252420
92,0.0086905050
93,0.0086242180
94,0.0086923870
95,0.0089259880
96,0.0090537600
97,0.0089688640
98,0.0094219520
99,0.0094406910
100,0.0094778200
101,0.0091967310
102,0.0096231150
103,0.0096559730
104,0.0097701740
105,0.0098226300
106,0.0102156500
107,0.0099395330
108,0.0114468650
109,0.0113251310
110,0.0109593840
111,0.0105739420
112,0.0105655020
113,0.0105002180
114,0.0105250770
115,0.0107715520
116,0.0108012570
117,0.0111304750
118,0.0112134340
119,0.0112628190
120,0.0114365370
121,0.0111540340
122,0.0116110840
123,0.0114648770
124,0.0114670260
125,0.0114391930
126,0.0119580460
127,0.0118457890
128,0.0118387380
129,0.0119503400
130,0.0120864190
131,0.0121250750
132,0.0123969730
133,0.0121601340
134,0.0124555930
135,0.0134670630
136,0.0133169910
137,0.0126272830
138,0.0128342730
139,0.0131450720
140,0.0127657680
141,0.0130585470
142,0.0132697440
143,0.0132184660
144,0.0134085190
145,0.0133850590
146,0.0136111670
147,0.0136071100
148,0.0138131410
149,0.0141739360
150,0.0143773800
151,0.0142841750
152,0.0143502030
153,0.0143462560
154,0.0147801020
155,0.0150212340
156,0.0146177380
157,0.0154740510
158,0.0148525750
159,0.0148570080
160,0.0151144990
161,0.0149041390
162,0.0153529620
163,0.0156893800
164,0.0157744400
165,0.0155724720
166,0.0153846220
167,0.0155335190
168,0.0156039330
169,0.0158665820
170,0.0165490420
171,0.0181890410
172,0.0172693610
173,0.0164704580
174,0.0168508400
175,0.0181211750
176,0.0170077340
177,0.0172041590
178,0.0170442000
179,0.0178111920
180,0.0181062840
181,0.0193190370
182,0.0184207650
183,0.0180585350
184,0.0183280900
185,0.0181508130
186,0.0181845680
187,0.0186758420
188,0.0184165280
189,0.0177512200
190,0.0175591600
191,0.0179201060
192,0.0184572600
193,0.0182535910
194,0.0177936430
195,0.0180526500
196,0.0186045220
197,0.0184347880
198,0.0187644680
199,0.0186769040
200,0.0188002550
